Día,Evento2
2026-05-12,ES Resultado ACS
2026-05-14,ES Resultado Colonial
2026-05-14,ES Resultado Merlin Properties
2026-05-14,ES Resultado Telefónica
2026/05/11,US Ventas viviendas segunda mano (Abr)
2026/05/12,US IPC (Abr/YoY/MoM)
2026/05/12,US IPC subyacente (Abr/MoM)
2026/05/13,"EU Comparecencia Lagarde, presidenta BCE"
2026/05/13,US IPP (Abr/MoM)
2026/05/13,US Inventarios petróleo crudo AIE
2026/05/14,ES IPC España (Abr/YoY/MoM)
2026/05/14,ES IPC subyacente (Abr/YoY)
2026/05/14,"EU Comparecencia Lagarde, presidenta BCE"
2026/05/14,US Nuevas peticiones subsidio desempleo
2026/05/14,US Ventas minoristas (Abr/MoM)
2026/05/14,US Ventas minoristas subyacentes (Abr/MoM)
